标题,时间,来源,新闻内容,责任编辑,新闻网址,图片链接,视频链接
南水北调东中线一期工程全面通水7周年：累计向北方调水494亿立方米?受益人口达1.4亿,2021/12/12 14:08,人民网,南水北调工程航拍。水利部供图人民网北京12月12日电 （记者余璐）12月12日，南水北调东中线一期工程迎来全面通水7周年。记者从水利部获悉，7年来，工程累计调水494亿立方米，其中，中线一期工程累计调水超441亿立方米，东线一期工程累计调水入山东52.88亿立方米，工程发挥了巨大的经济、社会、生态效益，沿线人民群众获得感、幸福感、安全感持续增强。南水北调中线正定高铁平行段渠道。水利部供图中国南水北调集团党组书记、董事长蒋旭光表示，7年来，南水北调东中线一期工程向北方输水已惠及河南、河北、北京、天津、江苏、安徽、山东7省市沿线40多座大中城市和280多个县（区、市），受益人口达1.4亿。“通水7年来，南水已经由原来的补充水源跃升为许多大中型城市的主要水源。”蒋旭光介绍道，南水北调东中线一期工程通水之前，北京、天津所在的海河流域人均水资源量不足全国平均水平的1/7，远低于国际公认的人均500立方米的“极度缺水标准”。如今，北京城区7成以上供水为南水北调水，天津主城区供水几乎全部为南水。此外，河南十余个省辖市用上南水，其中郑州中心城区90%以上居民生活用水为南水北调水。南水北调中线一期工程通过从滹沱河倒虹吸向滹沱河生态补水，生态环境明显改善。水利部供图“南水北调工程已成为奔涌不息的绿色生命线，守护着工程沿线亿万人民的饮用水安全。”蒋旭光谈到，通过推进铁腕治污和持续强化监督管理，优质水已源源不断地流入北方千家万户。丹江口水库和中线干线供水水质稳定在地表水水质Ⅱ类以上；东线一期工程输水干线水质全部达标，并持续稳定保持在地表水水质Ⅲ类以上。白洋淀河湖生态环境改善。水利部供图据介绍，南水北调东中线一期工程已累计实施生态补水超72亿立方米，有效保障了沿线河湖生态安全，部分区域地下水位止跌回升，有力推动了生态文明建设。中线一期工程已向北方50余条河流进行了生态补水，推动了滹沱河、瀑河、南拒马河、大清河、白洋淀等一大批河湖重现生机，河湖生态环境显著改善；2020年华北地区浅层地下水水位较上年总体回升0.23米，持续多年下降后首次实现止跌回升；北京市平原地区地下水位连续6年回升，2020年末较2014年末，北京市浅层地下水水位回升2.37米；2021年中线一期工程向永定河实施生态补水，助力永定河实现26年来首次全线通水；东线一期工程沿线受水区各湖泊蓄水保持稳定，济南“泉城”再现四季泉水喷涌景象。工程沿线曾经干涸的洼、淀、河、渠、湿地重现生机，初步形成了河畅、水清、岸绿、景美的靓丽风景线。南水北调工程航拍。水利部供图水利部相关负责人表示，水资源格局影响和决定着经济社会发展格局，南水北调东中线一期工程全面通水7年来，在畅通南北经济循中发挥着极其重要的作用。以2016年至2019年全国万元GDP平均用水量70.4立方米计算，工程有效支撑了受水区7万亿元GDP的增长，切实增强了北方地区经济发展后劲，促进了地区间经济社会协调发展，为京津冀协同发展、雄安新区建设、黄河流域生态保护和高质量发展等区域协调发展战略实施提供了强有力的水资源保障。分享让更多人看到,责编：杨虞波罗、吕骞,http://finance.people.com.cn//n1/2021/1212/c1004-32305798.html,http://finance.people.com.cn//NMediaFile/2021/1212/MAIN202112121412000548549061480.jpg,
人民会客厅：聚焦自动驾驶“下半场”?共谋未来出行新趋势,2021/12/12 10:09,人民网,人民网北京12月12日电 （记者栗翘楚）自动驾驶离公众的生活渐行渐近。11月25日，北京正式开放国内首个自动驾驶出行服务商业化试点。消费者可以在北京经济技术开发区60平方公里范围的多个站点，体验自动驾驶车辆提供的商业化出行服务。移动出行平台需具备哪些核心竞争力？从试点到规模化落地，自动驾驶还存在哪些挑战？近日，享道出行CEO庄菁雄、上汽集团人工智能实验室主任项党、Momenta首席财务官张鹏做客《人民会客厅》，围绕“自动驾驶‘下半场’ 共谋未来出行新趋势”主题为网友揭晓答案。2020年底，交通运输部公布了《交通运输部关于促进道路交通自动驾驶技术发展和应用的指导意见》。《意见》设定了发展目标：到2025年，自动驾驶基础理论研究取得积极进展，道路基础设施智能化、车路协同等关键技术及产品研发和测试验证取得重要突破。随着汽车新四化“电动化、智能化、网联化、共享化”发展趋势已成为行业共识，以及深度学习和计算机视觉技术的兴起，自动驾驶为出行体验提供了新的解决方案。庄菁雄认为：“移动出行平台应具备的核心竞争力首先是科技，且既要有领先的技术，又要懂用户的服务体验。”其次是融合，即“软件+硬件+服务”，软件是车内系统，硬件是车辆，服务则是由运营方作为平台提供的体验。在这一背景下，车、平台和系统数据的共振和交互，将会产生更大的价值。最后，最重要的核心竞争力是安全，而且是广义的安全。庄菁雄表示，在出行行业，没有安全这个1，其他一切都是0。享道Robotaxi对于安全的要求是整车系统安全、自动驾驶安全、运营服务安全、网络数据安全。谈到量产与在规模化落地中存在的新挑战，项党从技术和业务两个角度进行了解读。“从技术上来讲，最大的困难和挑战就是长尾问题，即无法为车辆预知到所有驾驶场景。”面对该挑战，他透露道，一方面，公司人工智能实验室研发了基于数据驱动的仿真以及自监督技术；另一方面，用多重冗余的系统硬件架构、远程驾控等手段，通过解决车端系统时延、时空同步、安全降级策略等问题，实现更多的技术突破。而在业务层面的挑战则是整车成本和运维成本。如何将L4级别自动驾驶汽车成本达到可量产的水平，这不仅需要技术的革新，也需要产业链革新。对于自动驾驶L4级和L5级产品的区别，张鹏认为，落地的两大应用将是Robotaxi和Robotruck，其共同点是保证安全性的同时能大规模节约人力成本。L4级自动驾驶带来的社会价值与经济效益，未来会通过应用体现出来，其中，最大考验即可规模化的能力。“实现这一应用有两个难点，一个是技术层面，一个是配套政策层面。在技术上，面对百万量级的长尾问题，必须摒弃大量低效率的人工劳动。Momenta通过数据驱动的方式，构建一个自动化发现问题和解决问题的系统，称之为‘一个飞轮’。”张鹏表示，数据驱动是引擎、海量数据是燃料、闭环自动化是加速器，‘飞轮’将能实现对海量长尾问题场景的算法高效迭代，更高效地实现可规模化的无人驾驶，赋能更安全、便捷、高效的未来智慧出行。“在政策层面，到了L4-L5级别，驾驶的责任从人类司机转移到车，这个转变会带来一系列法律层面的问题，需要道路，交通等各相关领域配套的法律法规，才能支持自动驾驶的落地。11月25日，北京市智能网联汽车政策先行区发布《北京市智能网联汽车政策先行区自动驾驶出行服务商业化试点管理实施细则（试行）》。我们相信，这标志着国内自动驾驶领域从测试示范迈入商业化试点的新阶段。对加快自动驾驶技术落地应用，改变未来出行方式具有重要意义。”最后，庄菁雄认为，作为移动出行平台，无论技术如何变化，在关注、投入新技术的同时，更需关注的是出行服务的本质——以人为本、贴近场景。“技术要真正匹配应用场景，解决用户的问题，打造真正的‘用户体验型’出行产品。”庄菁雄说。分享让更多人看到,责编：杨虞波罗、吕骞,http://finance.people.com.cn//n1/2021/1212/c1004-32305752.html,,http://flv4mp4.people.com.cn/videofile7/pvmsvideo/2021/12/12/YangYuBoLuo_ab9b3d54db4481a8aadfdfbf1b428cc8_ms_hd.mp4
112个世贸组织成员就投资便利化谈判发布联合声明,2021/12/12 9:13,人民网,人民网北京12月12日电 （记者孙阳）据商务部消息，12月10日，中国和欧盟、俄罗斯、日本、智利、巴西、尼日利亚等共112个世贸组织成员共同联署《投资便利化联合声明》。各方在声明中强调将继续坚持发展导向，并以现有谈判文本为基础推进谈判，目标是在2022年底前结束文本谈判，推动最终达成投资便利化多边协定。投资便利化是各方为推动2016年二十国集团（G20）杭州峰会关于《G20全球投资指导原则》的成果转化，于2017年在世贸组织联合发起的谈判议题，智利目前担任谈判协调人。据了解，该议题旨在建立国际规则，在全球范围内提升投资政策透明度、简化和加快投资审批程序、促进国际合作。截止目前，参加方已就协定框架和主要规则形成初步共识。分享让更多人看到,责编：杨虞波罗、吕骞,http://finance.people.com.cn//n1/2021/1212/c1004-32305725.html,,
水利部：让水利志愿服务成为社会风尚?汇聚关爱山川河流的强大力量,2021/12/11 17:05,人民网,水利部 “关爱山川河流·保护大运河”全线联动志愿服务活动启动仪式现场。水利部供图人民网北京12月11日电 （记者余璐）12月10日，水利部在大运河沿线28个城市同时开展“关爱山川河流·保护大运河”全线联动志愿服务活动。在北京会场的启动仪式现场，水利部副部长田学斌表示，水利志愿服务要畅通参与服务渠道，深化志愿服务成效，使水利志愿服务成为一种社会风尚、一种生活状态，不断汇聚起关爱山川河流的强大力量。田学斌指出，国家高度重视大运河文化带建设，明确提出“希望大家共同保护好大运河，使运河永远造福人民”。开展“关爱山川河流·保护大运河”全线联动志愿服务活动，就是要充分发挥水利志愿服务引领带动作用，推动全社会增强保护好、传承好、利用好大运河的思想自觉和行动自觉，为延续壮美运河的千年神韵、打造中华文化的亮丽名片贡献智慧和力量。“水利志愿服务要深入贯彻落实‘节水优先、空间均衡、系统治理、两手发力’的治水思路，深刻把握人民群众对美好生活的向往，精准对接新阶段水利高质量发展要求，示范带动更多社会公众投身水生态文明建设。”田学斌表示，一方面要在保护河湖环境、复苏河湖生态上多作贡献，牢固树立尊重自然、顺应自然、保护自然的生态文明理念，坚持山水林田湖草沙系统治理，以流域为单元，以山青、水净、村美、民富为目标，像保护自己的生命一样保护好河湖健康。另一方面，要在打造品牌、完善机制上不断提升，进一步擦亮“关爱山川河流”品牌，完善组织动员机制，畅通参与服务渠道，深化志愿服务成效。青年志愿者在北运河沿线捡拾垃圾。水利部供图中央文明办、团中央有关部门负责人，水利部直属机关、北京市人民政府相关负责人，北京市水务局的青年志愿者参加了北京会场的启动仪式，青年志愿者代表宣读了“关爱山川河流·保护大运河”倡议书。启动仪式后，青年志愿者开展了劝阻河道钓鱼、捡拾白色垃圾、宣传河长制等志愿服务活动。12月10日，各地水利志愿者围绕“关爱山川河流·保护大运河”主题，结合自身实际，突出地方特色，开展形式多样、内容丰富的志愿服务活动，一起表达“保护大运河、全线齐行动”的决心，共同为保护大运河贡献力量。据了解，大运河始建于公元前486年，由京杭运河、隋唐运河、浙东运河三大部分、十段河道组成，自北向南沟通了海河、黄河、淮河、长江、钱塘江五大水系，地跨北京、天津、河北、山东、江苏、浙江、河南和安徽8个省级行政区27座城市，全长2700千米，是世界上开凿最早、规模最大、线路最长、延续时间最久的运河。2014年，中国大运河项目成功入选世界文化遗产名录，成为中国第46个世界遗产项目。分享让更多人看到,责编：罗知之、吕骞,http://finance.people.com.cn//n1/2021/1211/c1004-32305535.html,http://finance.people.com.cn//NMediaFile/2021/1211/MAIN202112111709000315230526775.jpg,
公路货运进入高峰期?多方合力守护货车司机健康,2021/12/11 14:02,人民网,人民网北京12月11日电 （记者乔雪峰）进入冬季以来，公路货运进入高峰期，煤炭、天然气、电商物流等货物运输更加繁忙。这背后，是无数货车司机的日夜兼程、风雨无阻。他们连通着经济的命脉，也承载着家庭的希望。近日，中国物流与采购联合会发布的《2021年货车司机从业状况调查报告》（以下简称《报告》）显示，因长时间久坐开车，不能按时用餐，86.5%的货车司机患有“职业病”。为保障货车司机的健康权益，多部委以及爱心企业联合发力，解决货车司机的实际难题，为冬季货运路上的卡车司机送去温暖。阎师傅，37岁，做卡车司机已有20年，车胎印记几乎遍及全国各地。前几年一直自己开车接单，由于收入不稳定，再加上油、气成本上升，近两年选择跟车队合作。“一个月基本都在路上，很少回家，平均每天驾驶时间要15个小时。”阎师傅告诉记者。长时间的驾驶，让潜藏的健康问题逐渐凸显。最近五六年，阎师傅得了腰肌劳损，去医院看过几次，医生建议他不要继续长时间开车。“但也没办法，这个收入还比较稳定，家里6口人需要我养活，累了就停下来歇歇，下来活动活动。”阎师傅说，有几次开车的时候，疼的直不起腰，只能吃止疼片，也经常会在后腰贴满膏药。从业11年的货车司机同师傅，今年28岁，两年前贷款买了辆半挂重卡，没有固定车队，经常通过朋友关系接工地的散单。“还了每月两万的贷款能有一万左右的结余，家里有两个孩子不到3岁，由爱人和老人照顾，花销比较大，遇到淡季，贷款就只能拖欠。”但同师傅很乐观，他的朋友圈每天都会在路上发一些勉励自己的鸡汤。有一次，同师傅正打算吃饭，接到了朋友发货的电话，为了节省时间，多拉一单，同师傅一口气把刚买的五个包子吞到肚子里，结果导致胃病犯了，疼的去医院照胃镜，因此在家休息了一周。像阎师傅、同师傅这样因为开车患职业病的司机不是少数。《报告》显示，86.5%的货车司机因为开车患有胃病、颈椎病、高血压等职业病。货车司机群体的健康与从业环境问题引起了多家部委的重视，今年，针对司机群体，交通运输部、全国总工会等16部门联合下发了《关于切实维护新就业形态劳动者劳动保障权益的意见》（以下简称“意见”）。《意见》为维护卡车司机、快递员、外卖人员等新就业形态劳动者的合法权益，强调企业要牢固树立安全“红线”意识，不得制定损害劳动者安全健康的考核指标。此外，还要加强安全生产和职业卫生健康培训，重视劳动者身心健康，及时开展心理疏导。与此同时，在保障司机权益和重视司机安全健康方面，许多企业也纷纷履行企业社会责任，通过举办多种类型的司机关爱活动，来守护司机安全与健康。日前，中交兴路在其车旺大卡APP上线了“爱在路上，守护卡友健康”的活动，活动通过在卡友圈分享健康知识的方式，让卡车司机分享各自的身体护理妙招，发动司机群体关注身体健康，并且通过发放常备药小药箱，给冬季货运路上的司机带来温暖。“不仅如此，我们积极参与‘司机之家’建设工作并打造线上司机之家。”中交兴路相关负责人表示，以车旺大卡APP为载体，通过在线呈现、精准指引、线上评价、货车导航、油品服务、保险服务、救援咨询、维修指引等功能，实现了线下优质“司机之家”的线上化，为货车司机群体提供围绕着生活、经营等场景的服务关爱体系。分享让更多人看到,责编：罗知之、吕骞,http://finance.people.com.cn//n1/2021/1211/c1004-32305484.html,,
全国网约车监管信息平台11月共收到订单62309.9万单,2021/12/11 11:52,人民网,人民网北京12月11日电 （记者王连香）据全国网约车监管信息交互平台统计，全国网约车监管信息交互平台11月份共收到订单信息62309.9万单，环比下降9.9%。截至2021年11月30日，全国共有255家网约车平台公司取得网约车平台经营许可，环比增加4家；各地共发放网约车驾驶员证386.4万本、车辆运输证149.9万本，环比分别增长2.9%、3.0%。据统计，2021年11月订单量超过30万单的网约车平台共17家。在各主要中心城市中，订单合规率最高的是厦门，最低的是石家庄。其中，厦门、广州、杭州、深圳、合肥、郑州等7个城市订单合规率均在80%以上。本月订单合规率增幅前3名的依次是太原、济南、南京。分享让更多人看到,责编：王连香、吕骞,http://finance.people.com.cn//n1/2021/1211/c1004-32305474.html,,
2021年农业现代化示范区创建名单公布?找找有你的家乡吗？,2021/12/11 9:16,人民网,人民网北京12月11日电 （记者李楠桦）据农业农村部网站消息，近日，农业农村部、财政部、国家发展改革委发布关于公布2021年农业现代化示范区创建名单的通知（以下简称通知）。为贯彻党中央关于建设农业现代化示范区的决策部署，落实《中共中央国务院关于全面推进乡村振兴加快农业农村现代化的意见》要求，推进农业现代化示范区创建工作，经县级政府申请、省级部门择优遴选、专家评审和社会公示后，农业农村部、财政部、国家发展改革委研究同意将北京市平谷区等100个县（市、区）列入2021年农业现代化示范区创建名单。北京市平谷区。图片来源：北京市平谷区政府官方微博农业农村部介绍，农业现代化是一个持续过程、长期任务。要把握发展新趋势，因地制宜、因区施策，重点围绕设施化、园区化、融合化、绿色化、数字化等，找准创建定位和主攻方向，明确发展目标和重点任务，科学设计推进路径和发展模式，细化政策措施和工作机制，找差距、补短板、强弱项，推动农业现代化建设整体上水平。山东省寿光市。图片来源：山东省潍坊市新闻办官方微博通知明确，承担农业现代化示范区创建任务的县（市、区）要聚焦重点、聚集资源、聚合力量，推动要素向农业现代化示范区汇聚，确保创建工作取得预期目标。强化人才支撑，完善人才引进、培养、交流、激励机制，搭建引才聚才平台，吸引农民工、高校毕业生、工商业主等各类人才到农业现代化示范区创新创业。完善用地保障，落实农村一二三产业融合发展用地政策，盘活农村存量建设用地，支持乡村产业发展。创新多元投入，加强政策资金资源集聚，合理用好土地出让收入，鼓励金融机构创新服务和产品，引导社会资本投资，多方筹措资金支持农业现代化示范区建设。强化科技服务，推动与国家现代农业产业技术体系、农业科研院校开展合作，组建专家团队，加快新品种新技术新工艺新装备集成推广应用，打通科技资源进入农业现代化示范区通道，推动产业链创新链深度融合。附：2021年农业现代化示范区创建名单1.北京市平谷区2.天津市蓟州区3.河北省平泉市4.河北省石家庄市藁城区5.河北省玉田县6.河北省馆陶县7.山西省清徐县8.山西省晋中市太谷区9.山西省临猗县10.内蒙古自治区扎赉特旗11.内蒙古自治区察哈尔右翼前旗12.内蒙古自治区通辽市科尔沁区13.内蒙古自治区鄂托克旗14.辽宁省铁岭县15.辽宁省盘山县16.辽宁省海城市17.吉林省梨树县18.吉林省榆树市19.吉林省东辽县20.吉林省永吉县21.黑龙江省龙江县22.黑龙江省海伦市23.黑龙江省富锦市24.黑龙江省庆安县25.上海市崇明区26.江苏省睢宁县27.江苏省东台市28.江苏省宜兴市29.江苏省宿迁市宿城区30.浙江省嘉善县31.浙江省长兴县32.安徽省芜湖市繁昌区33.安徽省阜南县34.安徽省天长市35.福建省福鼎市36.福建省安溪县37.福建省古田县38.江西省修水县39.江西省丰城市40.江西省吉水县41.山东省肥城市42.山东省乳山市43.山东省齐河县44.山东省寿光市45.山东省金乡县46.河南省正阳县47.河南省温县48.河南省兰考县49.河南省内乡县50.湖北省武汉市东西湖区51.湖北省潜江市52.湖北省监利市53.湖南省澧县54.湖南省衡阳县55.湖南省浏阳市56.湖南省花垣县57.广东省东源县58.广东省广州市增城区59.广东省梅州市梅县区60.广东省高州市61.广西壮族自治区浦北县62.广西壮族自治区富川县63.广西壮族自治区宾阳县64.海南省三亚市崖州区65.重庆市荣昌区66.重庆市梁平区67.重庆市南川区68.四川省米易县69.四川省中江县70.四川省蒲江县71.四川省宣汉县72.四川省南充市高坪区73.贵州省湄潭县74.贵州省修文县75.贵州省贵定县76.云南省建水县77.云南省元谋县78.云南省新平县79.西藏自治区桑日县80.西藏自治区波密县81.西藏自治区白朗县82.陕西省大荔县83.陕西省咸阳市杨陵区84.陕西省洛川县85.甘肃省环县86.甘肃省张掖市甘州区87.甘肃省定西市安定区88.青海省互助县89.青海省河南县90.宁夏回族自治区平罗县91.宁夏回族自治区青铜峡市92.新疆维吾尔自治区玛纳斯县93.新疆维吾尔自治区巴楚县94.新疆维吾尔自治区福海县95.大连市金普新区96.宁波市慈溪市97.青岛市平度市98.新疆生产建设兵团第八师石河子总场99.北大荒农垦集团有限公司红星农场100.广东省农垦总局湛江垦区（徐闻片区）分享让更多人看到,责编：李楠桦、吕骞,http://finance.people.com.cn//n1/2021/1211/c1004-32305405.html,http://finance.people.com.cn//NMediaFile/2021/1211/MAIN202112110926000088632812469.jpeg,
一图读懂2021年中央经济工作会议,2021/12/10 22:54,人民网,分享让更多人看到,责编：申佳平、章斐然,http://finance.people.com.cn//n1/2021/1210/c1004-32305245.html,http://finance.people.com.cn//NMediaFile/2021/1210/MAIN202112102309000399934529687.jpg,
深交所修订上市规则：拟不再强制要求披露季报业绩预告?减轻上市公司负担,2021/12/10 20:56,人民网,人民网北京12月10日电 （记者王震）据深交所网站消息，为进一步规范上市公司股票上市、信息披露等行为，推动提高上市公司质量，保护投资者的合法权益，促进资本市场健康发展，近日，深交所修订了《深圳证券交易所股票上市规则》（以下简称《上市规则》），向社会公开征求意见。本次修订《上市规则》，旨在深入贯彻落实“建制度、不干预、零容忍”方针和“四个敬畏、一个合力”要求，进一步规范上市公司股票上市、信息披露等行为，推动提高上市公司质量，保护投资者的合法权益，促进资本市场健康发展。修订后的《上市规则》共16章459条，修订内容主要包括五大方面：一是落实新证券法、国发14号文、《信披办法》等上位规定新要求；二是进一步调整内部章节顺序，提升规则体例简明性、易读性；三是上移部分运行成熟的下位规则及过渡性通知的规范内容；四是回应市场关切，规范实践中的突出问题；五是优服务，办实事，减轻上市公司负担等。其中，在减轻上市公司负担方面，修订后的《上市规则》提出，为进一步减轻市场主体披露负担，不再强制要求披露季报业绩预告；针对自愿或者因业绩提前泄露等原因披露业绩快报的情形，取消差异幅度达到20％以上强制公开致歉的要求，相应地，明确要求披露业绩快报修正公告。同时，为加快上市公司低风险事项的审议流程，降低其聘请中介机构成本，新增“获得债务减免等不涉及对价支付”“价格公允的其他情形”等可免于提交股东大会审议的情形；新增“与关联人同比例现金增资”等可免于审计或评估的情形。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1210/c1004-32305229.html,,
两部门：低收入妇女患“两癌”可申请1万元彩票公益金救助,2021/12/10 18:13,人民网,人民网北京12月10日电 （记者王震）据财政部网站消息，近日，财政部、全国妇联联合制定并印发《中央专项彩票公益金支持低收入妇女“两癌”救助项目管理办法》（以下简称《办法》）。《办法》明确，项目资金实行专款专用，不得与其他资金混合管理使用。救助对象为民政、乡村振兴等部门认定的低保对象、特困人员、易返贫致贫人口、因病因灾因意外事故等刚性支出较大或收入大幅缩减导致基本生活出现严重困难人口，且经过有诊断资质的医疗机构确诊、患有宫颈浸润癌IIB以上或乳腺浸润癌的低收入妇女，救助标准为每人一次性救助10000元人民币，同一对象不得重复申领。项目实施和宣传工作中，应当标明“彩票公益金资助—中国福利彩票和中国体育彩票”字样，以突出彩票公益金的社会效益。《办法》自印发之日起施行，《“十三五”期间中央专项彩票公益金支持农村贫困母亲“两癌”救助项目管理办法》（财行〔2018〕320号）同时废止。分享让更多人看到,责编：王震、吕骞,http://finance.people.com.cn//n1/2021/1210/c1004-32305167.html,,
